season,date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,annabet_match_id,source_url,game_report_url
2023,2023-02-04,"Sport Huancayo","Cienciano",2,1,1.83,3.39,3.84,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-04,"Alianza Atlético","Sport Boys",1,0,1.41,4.32,7.21,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-04,"Universidad César Vallejo","ADT de Tarma",0,0,1.99,3.30,3.26,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-05,"UTC Cajamarca","Carlos A. Mannucci",2,0,1.70,3.63,4.47,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-05,"FBC Melgar","Atlético Grau",0,0,1.35,4.44,7.91,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-05,"Unión Comercio","Sport Boys",0,2,2.86,3.02,2.47,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-06,"Cienciano","Cusco FC",1,2,2.71,3.09,2.56,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-06,"ADT de Tarma","Alianza Atlético",0,1,1.51,3.81,5.85,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-07,"Comerciantes Unidos","Universitario",0,2,5.43,4.04,1.53,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-07,"Sporting Cristal","FBC Melgar",4,1,1.10,9.25,18.86,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-07,"Universitario","Carlos A. Mannucci",3,1,1.18,6.24,13.29,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-08,"Alianza Lima","Sport Huancayo",2,1,1.12,7.25,16.37,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-08,"Sport Boys","Comerciantes Unidos",0,0,2.04,3.38,3.52,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-08,"Cusco FC","Deportivo Garcilaso",2,1,1.75,3.49,4.48,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-09,"Atlético Grau","Sporting Cristal",1,3,4.02,3.62,1.78,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-09,"Los Chankas","Universitario",0,1,6.42,4.46,1.38,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-10,"Alianza Atlético","Alianza Lima",0,2,5.59,3.53,1.59,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-11,"Cienciano","ADT de Tarma",3,0,1.03,25.05,47.95,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-11,"Sport Huancayo","Cusco FC",1,1,1.49,4.01,6.04,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-12,"Deportivo Garcilaso","Unión Comercio",2,0,1.21,5.59,10.51,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-12,"FBC Melgar","Sport Boys",2,0,1.36,4.58,7.27,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-12,"Universitario","Atlético Grau",2,1,1.18,6.24,13.29,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-13,"Sporting Cristal","Universidad César Vallejo",3,0,1.10,9.25,18.86,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-13,"Carlos A. Mannucci","Alianza Lima",0,2,3.20,3.36,2.10,,https://annabet.com/es/soccerstats/results_month_2023-02,321
2023,2023-02-14,"Comerciantes Unidos","Cienciano",1,1,3.30,3.25,2.08,,https://annabet.com/es/soccerstats/results_month_2023-02,321
